401.bzip2.3,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.920030195,285.013709432,161.239230944,446.252940376
DCUI,0.755353636,275.509312773,159.595540673,435.104853446
DCUP,0.808195406,305.616206857,156.918073723,462.53428058
L2A,0.872013494,298.82919082,159.978716056,458.807906876
L2P,0.795423534,294.908974688,161.041775506,455.950750194
Todos,0.715494324,304.146786082,162.452517473,466.599303555
403.gcc.7,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,2.002053648,829.534801214,242.123060657,1071.657861871
DCUI,1.774272175,869.320824397,220.831598717,1090.152423114
DCUP,1.786041411,960.636965567,230.697347637,1191.334313204
L2A,1.796062583,1084.096057906,213.815738616,1297.911796522
L2P,1.073120201,1307.293091196,205.92282547,1513.215916666
Todos,0.918594358,1427.349734457,218.572710641,1645.922445098
410.bwaves.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.955230788,946.185339797,92.88704591,1039.072385707
DCUI,0.776037359,947.260568645,92.55890852,1039.819477165
DCUP,0.915926401,946.78412885,93.004169873,1039.788298723
L2A,0.877357328,947.112157445,92.69938164,1039.811539085
L2P,0.454280221,948.584303911,92.50032455,1041.084628461
Todos,0.438284948,948.398444596,92.52258595,1040.921030546
429.mcf.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,5.017439886,3787.905507579,616.821188636,4404.726696215
DCUI,4.46364923,3987.14597597,659.093081054,4646.239057024
DCUP,4.944656709,4018.890540646,650.835338687,4669.725879333
L2A,4.885579514,4113.192357796,615.260233392,4728.452591188
L2P,3.916841226,4213.106253716,618.359389242,4831.465642958
Todos,3.850223957,4561.303451827,667.302747608,5228.606199435
433.milc.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.914526157,1566.426420498,560.147403745,2126.573824243
DCUI,1.749246278,1566.456378036,562.444709141,2128.901087177
DCUP,1.667902238,1778.6846994,563.544698193,2342.229397593
L2A,1.825931177,1637.75585071,561.870948915,2199.626799625
L2P,1.542147612,1880.782109934,562.310709836,2443.09281977
Todos,1.407543954,2165.441465424,561.980678652,2727.422144076
434.zeusmp.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.774936159,324.000685315,118.846877158,442.847562473
DCUI,0.642901676,328.163712665,118.920329382,447.084042047
DCUP,0.681940128,326.291460851,118.934639648,445.226100499
L2A,0.72052342,324.667360938,118.751009196,443.418370134
L2P,0.576513871,332.62007122,118.66198228,451.2820535
Todos,0.535778109,340.712605121,118.795492087,459.508097208
436.cactusADM.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.910887493,290.384526696,92.918987127,383.303513823
DCUI,0.894837897,290.265851969,92.814227663,383.080079632
DCUP,0.909133143,287.466132673,92.629196548,380.095329221
L2A,0.884718798,289.937631548,92.760059332,382.69769088
L2P,0.838486675,314.989861644,95.687247586,410.67710923
Todos,0.833429031,316.875859585,95.681143939,412.557003524
437.leslie3d.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.156743028,1103.012084146,357.61095641,1460.623040556
DCUI,0.813072807,1108.677027074,356.321298043,1464.998325117
DCUP,0.954027572,1102.152111499,357.979659718,1460.131771217
L2A,1.017737951,1106.409319048,356.383560758,1462.792879806
L2P,0.465029697,1140.714821271,355.933170813,1496.647992084
Todos,0.425772815,1139.401937609,356.006265993,1495.408203602
445.gobmk.3,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.742893393,137.72553083,134.949128993,272.674659823
DCUI,0.740744985,138.184436957,135.020609839,273.205046796
DCUP,0.739733323,138.062492952,135.173939224,273.236432176
L2A,0.740369938,138.267501034,134.988953809,273.256454843
L2P,0.714848285,140.368679655,135.331776919,275.700456574
Todos,0.714062581,141.690602053,135.741641634,277.432243687
447.dealII.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.711757769,230.825061916,24.744621098,255.569683014
DCUI,0.5924277,226.656441354,24.64102958,251.297470934
DCUP,0.627723835,235.837742663,24.632080185,260.469822848
L2A,0.632755161,228.268775924,24.608760355,252.877536279
L2P,0.496649883,241.075203758,24.83463399,265.909837748
Todos,0.48355649,241.185026724,24.991354892,266.176381616
450.soplex.2,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,2.5204905,1779.39528294,305.664003567,2085.059286507
DCUI,1.563101984,1837.02379204,312.428318079,2149.452110119
DCUP,2.399585613,1811.110003147,309.385484142,2120.495487289
L2A,2.085082543,1828.499156737,307.665663216,2136.164819953
L2P,0.890681502,1971.595845917,313.688056948,2285.283902865
Todos,0.822854781,2020.947711672,317.032152581,2337.979864253
459.GemsFDTD.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.432222246,1136.878950765,521.738545619,1658.617496384
DCUI,1.055544718,1279.008801973,521.231466494,1800.240268467
DCUP,1.301167089,1155.675616829,521.201904659,1676.877521488
L2A,1.24170991,1162.140242899,521.380765435,1683.521008334
L2P,0.723073757,1227.497384344,520.429024708,1747.926409052
Todos,0.661493373,1330.964768563,520.639837,1851.604605563
462.libquantum.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.481403052,1990.649451034,828.763812788,2819.413263822
DCUI,1.247937497,1993.090596606,828.928758959,2822.019355565
DCUP,1.394796952,1991.394751949,828.667732454,2820.062484403
L2A,1.412850568,1995.407074253,829.209249325,2824.616323578
L2P,0.622003196,1995.265698017,830.536181797,2825.801879814
Todos,0.620556933,1999.09790447,830.759442858,2829.857347328
465.tonto.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.543043414,85.493208224,55.00466573,140.497873954
DCUI,0.496130096,84.677354247,56.162855914,140.840210161
DCUP,0.514421232,84.263179788,54.835983878,139.099163666
L2A,0.517622206,86.317133282,55.126444634,141.443577916
L2P,0.451418125,87.203552876,55.210171725,142.413724601
Todos,0.44844508,88.551583826,56.48574538,145.037329206
470.lbm.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.599843868,1938.035400425,1424.444372979,3362.479773404
DCUI,1.600473843,1943.198657332,1423.928818206,3367.127475538
DCUP,1.558911167,1941.885794976,1422.423118047,3364.308913023
L2A,1.433467859,1950.351623889,1428.190787133,3378.542411022
L2P,0.668461911,1945.330096612,1428.981555333,3374.311651945
Todos,0.654622741,1957.082809847,1435.509738909,3392.592548756
471.omnetpp.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,2.306388421,1196.381129486,461.253915413,1657.635044899
DCUI,2.238611759,1239.526074462,464.407933525,1703.934007987
DCUP,2.28303031,1333.194180008,470.344749756,1803.538929764
L2A,2.311262047,1240.692210693,461.85702323,1702.549233923
L2P,2.279838749,1420.950950802,467.640658567,1888.591609369
Todos,2.225268645,1716.575042662,481.560803358,2198.13584602
473.astar.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.609850644,625.333844654,377.776195128,1003.110039782
DCUI,1.521631648,768.085167356,424.164335299,1192.249502655
DCUP,1.596964549,733.299632107,403.592969284,1136.892601391
L2A,1.597798508,628.083883583,380.205753057,1008.28963664
L2P,1.553106696,638.253225462,382.988329979,1021.241555441
Todos,1.50390925,845.864923111,426.380352146,1272.245275257
481.wrf.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.902997604,388.750376936,148.079640648,536.830017584
DCUI,0.581645991,391.732027406,147.754712531,539.486739937
DCUP,0.75795961,390.192837314,146.718655926,536.91149324
L2A,0.768798024,393.717326252,146.570314169,540.287640421
L2P,0.433712629,404.449773924,148.959643743,553.409417667
Todos,0.421706701,404.631179892,149.122902391,553.754082283
482.sphinx3.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.510185397,475.210713538,49.929880059,525.140593597
DCUI,0.80837195,540.451010516,37.277889318,577.728899834
DCUP,1.186378272,480.791401552,43.065760334,523.857161886
L2A,1.206250065,497.008227324,54.164326971,551.172554295
L2P,0.716933661,575.179512689,52.399542624,627.579055313
Todos,0.581997965,704.355330178,44.022442322,748.3777725
483.xalancbmk.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.06011696,396.323246539,90.207004718,486.530251257
DCUI,0.90638117,464.974055417,91.141968535,556.116023952
DCUP,1.048106902,439.794319872,90.760340424,530.554660296
L2A,0.994642986,446.10524861,90.340958743,536.446207353
L2P,0.822344543,518.795324877,91.55173552,610.347060397
Todos,0.75285465,637.45874242,92.561160467,730.019902887
